t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
4.6600000000,0.7568155570,0.5089366411,0.7653832436,-0.8464521797
4.6800000000,0.7426441296,0.5205479792,0.7815711907,-0.8405758074
4.7000000000,0.7280744627,0.5318801759,0.7975523896,-0.8344770785
4.7200000000,0.7131075046,0.5429221395,0.8133261704,-0.8281613285
4.7400000000,0.6977443515,0.5536624613,0.8288919317,-0.8216337648
4.7600000000,0.6819862623,0.5640893999,0.8442491367,-0.8148994709
4.7800000000,0.6658346759,0.5741908663,0.8593973082,-0.8079634105
4.8000000000,0.6492912294,0.5839544073,0.8743360248,-0.8008304307
4.8200000000,0.6323577782,0.5933671888,0.8890649167,-0.7935052663
4.8400000000,0.6150364179,0.6024159795,0.9035836627,-0.7859925431
4.8600000000,0.5973295085,0.6110871323,0.9178919862,-0.7782967816
4.8800000000,0.5792396998,0.6193665671,0.9319896524,-0.7704224000
4.9000000000,0.5607699608,0.6272397518,0.9458764652,-0.7623737179
4.9200000000,0.5419236103,0.6346916841,0.9595522641,-0.7541549593
4.9400000000,0.5227043509,0.6417068720,0.9730169223,-0.7457702558
4.9600000000,0.5031163068,0.6482693149,0.9862703434,-0.7372236493
4.9800000000,0.4831640635,0.6543624843,0.9993124599,-0.7285190954
5.0000000000,0.4628527129,0.6599693048,1.0121432301,-0.7196604659
5.0200000000,0.4421879017,0.6650721352,1.0247626371,-0.7106515515
5.0400000000,0.4211758839,0.6696527500,1.0371706859,-0.7014960646
5.0600000000,0.3998235791,0.6736923223,1.0493674023,-0.6921976420
5.0800000000,0.3781386358,0.6771714071,1.0613528310,-0.6827598469
5.1000000000,0.3561294995,0.6800699266,1.0731270338,-0.6731861719
5.1200000000,0.3338054887,0.6823671573,1.0846900885,-0.6634800409
5.1400000000,0.3111768763,0.6840417197,1.0960420870,-0.6536448118
5.1600000000,0.2882549791,0.6850715712,1.1071831344,-0.6436837781
5.1800000000,0.2650522542,0.6854340032,1.1181133478,-0.6336001717
5.2000000000,0.2415824050,0.6851056427,1.1288328546,-0.6233971644
5.2200000000,0.2178604950,0.6840624607,1.1393417920,-0.6130778703
5.2400000000,0.1939030713,0.6822797870,1.1496403056,-0.6026453475
5.2600000000,0.1697282986,0.6797323348,1.1597285487,-0.5921026002
5.2800000000,0.1453561021,0.6763942348,1.1696066811,-0.5814525803
5.3000000000,0.1208083223,0.6722390828,1.1792748684,-0.5706981893
5.3200000000,0.0961088797,0.6672400012,1.1887332811,-0.5598422800
5.3400000000,0.0712839497,0.6613697184,1.1979820942,-0.5488876583
5.3600000000,0.0463621486,0.6546006685,1.2070214858,-0.5378370845
5.3800000000,0.0213747277,0.6469051141,1.2158516371,-0.5266932753
5.4000000000,-0.0036442236,0.6382552969,1.2244727314,-0.5154589049
5.4200000000,-0.0286575687,0.6286236190,1.2328849535,-0.5041366069
5.4400000000,-0.0536249120,0.6179828597,1.2410884895,-0.4927289754
5.4600000000,-0.0785023862,0.6063064331,1.2490835257,-0.4812385667
5.4800000000,-0.1032424448,0.5935686890,1.2568702485,-0.4696679004
5.5000000000,-0.1277936655,0.5797452646,1.2644488440,-0.4580194610
5.5200000000,-0.1521005716,0.5648134896,1.2718194971,-0.4462956989
5.5400000000,-0.1761034816,0.5487528486,1.2789823917,-0.4344990320
5.5600000000,-0.1997383964,0.5315455049,1.2859377097,-0.4226318467
5.5800000000,-0.2229369400,0.5131768862,1.2926856312,-0.4106964991
5.6000000000,-0.2456263655,0.4936363323,1.2992263336,-0.3986953164
5.6200000000,-0.2677296460,0.4729178005,1.3055599917,-0.3866305978
5.6400000000,-0.2891656679,0.4510206227,1.3116867774,-0.3745046156
5.6600000000,-0.3098495453,0.4279503018,1.3176068590,-0.3623196166
5.6800000000,-0.3296930758,0.4037193315,1.3233204014,-0.3500778227
5.7000000000,-0.3486053548,0.3783480151,1.3288275655,-0.3377814326
5.7200000000,-0.3664935635,0.3518652556,1.3341285081,-0.3254326219
5.7400000000,-0.3832639391,0.3243092805,1.3392233819,-0.3130335451
5.7600000000,-0.3988229302,0.2957282592,1.3441123348,-0.3005863358
5.7800000000,-0.4130785286,0.2661807689,1.3487955103,-0.2880931081
