t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
3.7600000000,-1.1348262802,0.3902573576,-1.0955076425,-0.0541705437
3.7800000000,-1.1435931339,0.3804424675,-1.0940099527,-0.0625306565
3.8000000000,-1.1521358470,0.3705530119,-1.0922978404,-0.0708785135
3.8200000000,-1.1604527452,0.3605909291,-1.0903716412,-0.0792124786
3.8400000000,-1.1685421984,0.3505581717,-1.0882317326,-0.0875309182
3.8600000000,-1.1764026210,0.3404567059,-1.0858785341,-0.0958322021
3.8800000000,-1.1840324725,0.3302885117,-1.0833125070,-0.1041147032
3.9000000000,-1.1914302574,0.3200555821,-1.0805341540,-0.1123767981
3.9200000000,-1.1985945257,0.3097599225,-1.0775440198,-0.1206168676
3.9400000000,-1.2055238734,0.2994035510,-1.0743426904,-0.1288332965
3.9600000000,-1.2122169423,0.2889884974,-1.0709307932,-0.1370244745
3.9800000000,-1.2186724205,0.2785168030,-1.0673089971,-0.1451887961
4.0000000000,-1.2248890429,0.2679905201,-1.0634780118,-0.1533246612
4.0200000000,-1.2308655909,0.2574117120,-1.0594385883,-0.1614304752
4.0400000000,-1.2366008932,0.2467824520,-1.0551915181,-0.1695046493
4.0600000000,-1.2420938256,0.2361048234,-1.0507376339,-0.1775456010
4.0800000000,-1.2473433117,0.2253809190,-1.0460778083,-0.1855517544
4.1000000000,-1.2523483225,0.2146128407,-1.0412129549,-0.1935215402
4.1200000000,-1.2571078770,0.2038026990,-1.0361440271,-0.2014533964
4.1400000000,-1.2616210424,0.1929526126,-1.0308720184,-0.2093457684
4.1600000000,-1.2658869341,0.1820647081,-1.0253979621,-0.2171971093
4.1800000000,-1.2699047160,0.1711411195,-1.0197229310,-0.2250058802
4.2000000000,-1.2736736006,0.1601839878,-1.0138480375,-0.2327705508
4.2200000000,-1.2771928493,0.1491954605,-1.0077744331,-0.2404895990
4.2400000000,-1.2804617723,0.1381776914,-1.0015033080,-0.2481615121
4.2600000000,-1.2834797289,0.1271328399,-0.9950358916,-0.2557847862
4.2800000000,-1.2862461276,0.1160630708,-0.9883734513,-0.2633579274
4.3000000000,-1.2887604261,0.1049705537,-0.9815172929,-0.2708794513
4.3200000000,-1.2910221318,0.0938574627,-0.9744687603,-0.2783478837
4.3400000000,-1.2930308012,0.0827259760,-0.9672292350,-0.2857617607
4.3600000000,-1.2947860407,0.0715782752,-0.9598001358,-0.2931196294
4.3800000000,-1.2962875063,0.0604165453,-0.9521829189,-0.3004200476
4.4000000000,-1.2975349037,0.0492429739,-0.9443790771,-0.3076615844
4.4200000000,-1.2985279884,0.0380597511,-0.9363901401,-0.3148428205
4.4400000000,-1.2992665658,0.0268690687,-0.9282176736,-0.3219623485
4.4600000000,-1.2997504911,0.0156731201,-0.9198632794,-0.3290187728
4.4800000000,-1.2999796695,0.0044740995,-0.9113285950,-0.3360107105
4.5000000000,-1.2999540560,-0.0067257979,-0.9026152931,-0.3429367912
4.5200000000,-1.2996736557,-0.0179243771,-0.8937250814,-0.3497956574
4.5400000000,-1.2991385235,-0.0291194432,-0.8846597026,-0.3565859648
4.5600000000,-1.2983487643,-0.0403088020,-0.8754209332,-0.3633063824
4.5800000000,-1.2973045329,-0.0514902603,-0.8660105841,-0.3699555932
4.6000000000,-1.2960060340,-0.0626616268,-0.8564304998,-0.3765322938
4.6200000000,-1.2944535220,-0.0738207117,-0.8466825578,-0.3830351954
4.6400000000,-1.2926473013,-0.0849653281,-0.8367686687,-0.3894630232
4.6600000000,-1.2905877259,-0.0960932915,-0.8266907757,-0.3958145176
4.6800000000,-1.2882751994,-0.1072024209,-0.8164508539,-0.4020884335
4.7000000000,-1.2857101751,-0.1182905390,-0.8060509103,-0.4082835415
4.7200000000,-1.2828931557,-0.1293554726,-0.7954929834,-0.4143986271
4.7400000000,-1.2798246933,-0.1403950529,-0.7847791424,-0.4204324920
4.7600000000,-1.2765053895,-0.1514071162,-0.7739114872,-0.4263839534
4.7800000000,-1.2729358946,-0.1623895041,-0.7628921478,-0.4322518449
4.8000000000,-1.2691169084,-0.1733400643,-0.7517232839,-0.4380350165
4.8200000000,-1.2650491793,-0.1842566504,-0.7404070848,-0.4437323346
4.8400000000,-1.2607335046,-0.1951371227,-0.7289457682,-0.4493426826
4.8600000000,-1.2561707303,-0.2059793488,-0.7173415806,-0.4548649608
4.8800000000,-1.2513617504,-0.2167812036,-0.7055967963,-0.4602980870
4.9000000000,-1.2463075077,-0.2275405700,-0.6937137173,-0.4656409963
4.9200000000,-1.2410089927,-0.2382553392,-0.6816946726,-0.4708926413
4.9400000000,-1.2354672439,-0.2489234111,-0.6695420180,-0.4760519930
4.9600000000,-1.2296833475,-0.2595426948,-0.6572581353,-0.4811180399
4.9800000000,-1.2236584370,-0.2701111089,-0.6448454320,-0.4860897893
5.0000000000,-1.2173936935,-0.2806265822,-0.6323063412,-0.4909662666
5.0200000000,-1.2108903447,-0.2910870535,-0.6196433203,-0.4957465162
5.0400000000,-1.2041496652,-0.3014904727,-0.6068588513,-0.5004296009
